"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes"
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","25 Jan 17","25 Jan 17","Bridgetown","Electorate Business","1","268.00","268.00","25-Jan-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","29 Jan 17","29 Jan 17","Kalgoorlie","Electorate Business","1","313.00","313.00","29-Jan-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","30 Jan 17","30 Jan 17","Collie","Electorate Business","1","268.00","268.00","30-Jan-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","4 Feb 17","4 Feb 17","Perth","Sittings of Parliament","1","399.00","399.00","04-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","5 Feb 17","10 Feb 17","Canberra","Sittings of Parliament","6","276.00","1,656.00","05-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","19 Feb 17","20 Feb 17","Griffith","Agriculture and Industry","2","286.00","572.00","19-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","21 Feb 17","21 Feb 17","Perth","Agriculture and Industry","1","399.00","399.00","21-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","16 Dec 16","16 Dec 16","Collie","Electorate Business","1","268.00","268.00","16-Dec-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Perth to Sydney","","","1,682.32","05-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Feb 17 - Sydney to Canberra","","","","05-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Canberra to Melbourne","","","1,675.84","10-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","10 Feb 17 - Melbourne to Perth","","","","10-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","11 Feb 17 - Perth to Albany","","","297.76","11-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","12 Feb 17 - Perth to Canberra","","","827.90","12-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Canberra to Melbourne","","","1,675.84","16-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","16 Feb 17 - Melbourne to Perth","","","","16-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Perth to Sydney","","","1,945.04","19-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Feb 17 - Sydney to Griffith","","","445.00","19-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Griffith to Sydney","","","445.00","21-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","21 Feb 17 - Sydney to Perth","","","2,104.93","21-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","22 Feb 17 - Perth to Albany","","","297.76","22-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","26 Feb 17 - Perth to Canberra","","","1,769.77","26-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Mar 17 - Canberra to Perth","","","1,769.77","02-Mar-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","3 Mar 17 - Perth to Kalgoorlie","","","412.25","03-Mar-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Perth to Kalgoorlie","","","500.80","14-Mar-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","14 Mar 17 - Kalgoorlie to Perth","","","412.25","14-Mar-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","19 Mar 17 - Perth to Canberra","","","860.40","19-Mar-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Canberra to Melbourne","","","836.19","02-Dec-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Melbourne to Perth","","","","02-Dec-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2017","","","","2 Dec 16 - Perth to Albany","","","297.76","02-Dec-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Charter","Electorate","From 1 January 2017","","","","Albany to Kalgoorlie 29 Jan 17","","","5,210.00","29-Jan-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Charter","Electorate","From 1 January 2017","","","","Kalgoorlie to Collie 30 Jan 17","","","","30-Jan-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Charter","Electorate","From 1 January 2017","","","","Collie to Albany 30 Jan 17","","","","30-Jan-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Charter","Electorate","From 1 January 2017","","","","Perth to Albany 12 Feb 17","","","2,300.00","12-Feb-2017",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Charter","Electorate","From 1 January 2017","","","","Albany to Perth 12 Feb 17","","","","12-Feb-2017",""
