"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Type","Notes"
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Jan 17","4 Jan 17","Sydney","Electorate Business","3","400.00","1,200.00","02-Jan-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","13 Jan 17","13 Jan 17","Sydney","Electorate Business","1","400.00","400.00","13-Jan-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","20 Jan 17","20 Jan 17","Sydney","Electorate Business","1","400.00","400.00","20-Jan-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","1 Feb 17","1 Feb 17","Canberra","Parliamentary Political Party Meeting","1","276.00","276.00","01-Feb-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","2 Feb 17","2 Feb 17","Sydney","Electorate Business","1","400.00","400.00","02-Feb-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","6 Feb 17","9 Feb 17","Canberra","Sittings of Parliament","4","276.00","1,104.00","06-Feb-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","12 Feb 17","16 Feb 17","Canberra","Sittings of Parliament","5","276.00","1,380.00","12-Feb-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","21 Feb 17","21 Feb 17","Melbourne","Corporations and Financial Services","1","382.00","382.00","21-Feb-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","22 Feb 17","22 Feb 17","Brisbane","Corporations and Financial Services","1","411.00","411.00","22-Feb-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","23 Feb 17","23 Feb 17","Sydney","Corporations and Financial Services","1","400.00","400.00","23-Feb-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2017","26 Feb 17","2 Mar 17","Canberra","Senate Estimates","5","276.00","1,380.00","26-Feb-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","8 Dec 16","8 Dec 16","Sydney","External Territory Visit","-1","400.00","-400.00*","08-Dec-2016","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","9 Dec 16","11 Dec 16","Norfolk Island","External Territory Visit","-3","483.00","-1,449.00*","09-Dec-2016","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","*","","","","","","","01-Jan-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2017","","Adjustment by Senator.","","","","","","01-Jan-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","6,038.82","01-Jan-2017","OS Delegation - Accommodation and meals",""
"John Williams","Senator","","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","430.00","01-Jan-2017","OS Delegation - Equipment allowance",""
"John Williams","Senator","","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","2,390.88","01-Jan-2017","OS Delegation - Fares",""
"John Williams","Senator","","New South Wales","The Nationals","Overseas Travel","Overseas Travel","From 1 January 2017","","","","","","","200.00","01-Jan-2017","OS Delegation - Travel advance",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","2 Jan 17 - Armidale to Sydney","","","321.12","02-Jan-2017","",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2017","","","","5 Jan 17 - Sydney to Armidale","","","321.12","05-Jan-2017","",""
