"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","29 Jan 16","Sydney","Electorate Business","2","397.00","","794.00","28-Jan-2016","",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","5 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-Feb-2016","",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016","",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016","",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","13-Mar-2016","",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016","",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016","",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Jan 16 - Brisbane to Sydney","","","","698.67","28-Jan-2016","",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","30 Jan 16 - Sydney to Brisbane","","","","698.67","30-Jan-2016","",""
"Scott Buchholz","Representative","Wright","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Brisbane to Canberra","","","","714.18","01-Feb-2016","",""
